NOMBRE_DEPTO;COD_DISTRITO;NOMBRE_DISTRITO;COD_CE;NOMBRE_CE;SECTOR;ZONA;DOCENTES
AHUACHAPÁN;101;AHUACHAPÁN;10001;"CENTRO ESCOLAR  ""ISIDRO MENÉNDEZ""";PÚBLICO;Urbana;40
AHUACHAPÁN;101;AHUACHAPÁN;10002;"CENTRO ESCOLAR ""ALFREDO ESPINO""";PÚBLICO;Urbana;20
AHUACHAPÁN;101;AHUACHAPÁN;10003;CENTRO ESCOLAR ALEJANDRO DE HUMBOLDT;PÚBLICO;Urbana;27
AHUACHAPÁN;101;AHUACHAPÁN;10004;"CENTRO ESCOLAR ""1° DE JULIO DE 1823""";PÚBLICO;Urbana;23
AHUACHAPÁN;101;AHUACHAPÁN;10006;"CENTRO ESCOLAR ""RICARDO TRIGUEROS DE LEÓN""";PÚBLICO;Urbana;15
AHUACHAPÁN;101;AHUACHAPÁN;10007;"CENTRO ESCOLAR ""CARLOTA LEÓN VIUDA DE TRIGUEROS""";PÚBLICO;Urbana;9
AHUACHAPÁN;101;AHUACHAPÁN;10008;"ESCUELA DE EDUCACIÓN PARVULARIA ""MARÍA SALAZAR VIUDA DE MAGAÑA""";PÚBLICO;Urbana;11
AHUACHAPÁN;101;AHUACHAPÁN;10010;"CENTRO ESCOLAR ""CASERIO PUERTAS NEGRAS""";PÚBLICO;Rural;3
AHUACHAPÁN;101;AHUACHAPÁN;10011;"CENTRO ESCOLAR ""CANTON LOS HUATALES""";PÚBLICO;Rural;6
AHUACHAPÁN;101;AHUACHAPÁN;10012;"CENTRO ESCOLAR ""BERNARDINO E. ZAMORA""";PÚBLICO;Rural;9
AHUACHAPÁN;101;AHUACHAPÁN;10013;"COMPLEJO EDUCATIVO ""GENERAL FABIO MORÁN""";PÚBLICO;Rural;27
AHUACHAPÁN;101;AHUACHAPÁN;10014;"COMPLEJO EDUCATIVO ""ISABEL CARRILLO DE BOLAÑOS""";PÚBLICO;Rural;11
AHUACHAPÁN;101;AHUACHAPÁN;10015;"CENTRO ESCOLAR ""PROFESOR RICARDO ARGUETA LINARES""";PÚBLICO;Rural;14
AHUACHAPÁN;101;AHUACHAPÁN;10016;"CENTRO ESCOLAR ""CANTON EL ROBLE""";PÚBLICO;Rural;10
AHUACHAPÁN;101;AHUACHAPÁN;10017;"CENTRO ESCOLAR ""CANTON EL JUNQUILLO""";PÚBLICO;Rural;7
AHUACHAPÁN;101;AHUACHAPÁN;10019;"CENTRO ESCOLAR ""CANTON ASHAPUCO""";PÚBLICO;Rural;13
AHUACHAPÁN;101;AHUACHAPÁN;10021;"CENTRO ESCOLAR ""CANTON SUNTECUMAT""";PÚBLICO;Rural;2
AHUACHAPÁN;101;AHUACHAPÁN;10022;"CENTRO ESCOLAR ""CANTÓN LOS MAGUEYES""";PÚBLICO;Rural;28
AHUACHAPÁN;101;AHUACHAPÁN;10023;"CENTRO ESCOLAR ""DOCTOR RENE VIRGILIO CORNEJO GRANADOS""";PÚBLICO;Rural;24
AHUACHAPÁN;101;AHUACHAPÁN;10024;"CENTRO ESCOLAR ""CANTON PALO PIQUE""";PÚBLICO;Rural;7
AHUACHAPÁN;101;AHUACHAPÁN;10025;COMPLEJO EDUCATIVO CANTÓN RÍO FRÍO;PÚBLICO;Rural;12
AHUACHAPÁN;101;AHUACHAPÁN;10026;"CENTRO ESCOLAR ""ABELINA ARRIAZA""";PÚBLICO;Rural;4
AHUACHAPÁN;101;AHUACHAPÁN;10027;"COMPLEJO EDUCATIVO ""DOCTOR RAFAEL MEZA DELGADO""";PÚBLICO;Rural;13
AHUACHAPÁN;101;AHUACHAPÁN;10029;"CENTRO ESCOLAR ""CASERIO EL BOTADERO, CANTON EL ROBLE""";PÚBLICO;Rural;2
AHUACHAPÁN;101;AHUACHAPÁN;10031;"COMPLEJO EDUCATIVO ""DOCTOR ARTURO ROMERO""";PÚBLICO;Rural;44
AHUACHAPÁN;101;AHUACHAPÁN;10032;"CENTRO ESCOLAR ""CANTON SANTA ROSA ACACALCO""";PÚBLICO;Rural;9
AHUACHAPÁN;101;AHUACHAPÁN;10033;COMPLEJO EDUCATIVO  HACIENDA LA LABOR;PÚBLICO;Rural;22
AHUACHAPÁN;101;AHUACHAPÁN;10037;"CENTRO ESCOLAR ""CASERIO LAS CHINITAS, C. LLANO DE LA LAGUNA""";PÚBLICO;Rural;11
AHUACHAPÁN;101;AHUACHAPÁN;10038;"CENTRO ESCOLAR ""COLONIA SANTA MARIA""";PÚBLICO;Urbana;20
AHUACHAPÁN;101;AHUACHAPÁN;10039;"CENTRO ESCOLAR ""CANTON LA DANTA""";PÚBLICO;Rural;7
AHUACHAPÁN;101;AHUACHAPÁN;10042;"CENTRO ESCOLAR ""CANTON SAN LAZARO""";PÚBLICO;Rural;7
AHUACHAPÁN;101;AHUACHAPÁN;10044;"CENTRO ESCOLAR ""CASERIO  RANCHO GRANDE, CANTON EL JUNQUILLO""";PÚBLICO;Rural;2
AHUACHAPÁN;101;AHUACHAPÁN;10045;"CENTRO ESCOLAR ""HACIENDA ZACAMIL""";PÚBLICO;Rural;4
AHUACHAPÁN;101;AHUACHAPÁN;10047;"ESCUELA DE EDUCACION ESPECIAL ""DE AHUACHAPAN""";PÚBLICO;Urbana;6
AHUACHAPÁN;101;AHUACHAPÁN;10048;"CENTRO ESCOLAR ""COLONIA LAS VICTORIAS""";PÚBLICO;Rural;5
